,NAME,COVER,STORYLINE
17,小情歌,,歌曲改编电影依然没完没了，继《小苹果》《栀子花开》《一生有你》《睡在我上铺的兄弟》《她来听我的演唱会之后》，苏打绿的《小情歌》也要被搬上大银幕，影片由合一影业出品。
18,六重门,,30岁的王一舟来找六合联盟的严复义寻找未婚妻去世的真相，而严复义安排了六场游戏迎接他。王一舟顺利的过关，与此同时，他发现未婚妻的去世是意外而非严复义所为。ysgou.cc因此，王一舟宽恕了严复义，找回了生活的希望。
19,山海经之小人国,,根据中国古代神话故事《山海经》所记载的周饶小人国传说改编而成的3D动画电影《山海经之小人国》。
20,羊毛战记,,二十世纪福斯影业将把超人气科幻小说《羊毛战记》（Wool）搬上大银幕，《银河护卫队》和《惊奇队长》的编剧尼科尔·帕尔曼将为该片执笔剧本，科幻大师雷德利·斯科特与《辛德勒名单》的编剧斯蒂文·泽里安将共同担任制作人。
21,沙漠,,
22,事出有姻,,中意两国首部合拍电影的《事出有姻》筹备三年终于在成都正式开机，黄海波也将牵手意大利女星古欣娜塔，联手演绎一段跨国恋情。据了解，该电影讲述一个成都厨师与意大利厨娘因不同的美食文化而碰撞出令人啼笑皆非又温馨浪漫的爱情故事。
23,擒凶记1894,,疑电影《擒凶记1894》由香港电影人陈德森和陈锡康合作，讲述19世纪末的香港无头悬案，从而引发出一桩惊天阴谋，来自英国一丝不苟的年轻法医，与世袭嘉业的粗鄙侩子手联袂搭档，在追查无头命案的背后，有着令人不寒而栗的冷血真相。该片目前演员阵容还未确认曝光，据悉有望重金聘请国外巨星投身剧组。
24,喜剧王,,油嘴滑舌的二大大（崔笛 饰）相亲遇见白富美莎莎（刘洋影子 饰），对其一见倾心，为了迎娶白富美，二大大接受了莎莎提出的任务考验：一夜之间，12个小时之内，亲吻不同类型的六个女孩子，并发送亲吻的照片给莎莎，以示证明亲吻成功。这是一个高难的、刺激的、有趣的任务。
25,黑暗中的笑声,,"Based on Vladimir Nabokov's novel, set in 1930's Berlin, Laughter In The Dark centres on a wealthy art dealer, who abandons his wife and child for a temptress who in turn takes him for everything he's got."
26,牛兄牛弟,,主要讲述了讲述了刘德华的两个“儿子”安逗和黑仔为保护家园，齐心协力共同对抗外来敌人的冒险、感人故事。
27,疯狗和英国人,,Noel Coward steps in to replace Liberace at a Las Vegas cabaret in 1955.
28,钢铁之心,,The film focus around a 15 year old Genius RiRi Williams and her mentor Tony Stark.
29,在北极说爱你,,北京IT民工杜晓驹上当买了加拿大“别墅”，与白富美留学生夏晓嫣在印地安人小镇不期而遇，俩人在世界上最干净的北极谈了一场最干净的恋爱。
30,年少轻狂时,,"Just about to leave school with everything going for her, Angie falls pregnant. Left to raise her child with only her grandmother, her life isn't exactly as she planned."
31,孙悟空之火焰山,,曾经打造《大闹天 宫》的上海美术电影制片厂正式宣布，影院 动画《孙悟空之火焰山》将正式启动。
32,暴力觉醒,,《暴力觉醒》讲述布鲁斯·威利斯饰演的男主人公瑞德回到了自己童年生活的小岛上，他的哥哥一家也在小岛上生活。但是，瑞德没想到这座原本与世无争的小岛也会引来麻烦，为了拯救自己的家族，瑞德不得不与恶势力展开对决。
33,猎魔行动,,圣诞夜的温哥华机场，海关安检发现一名携带“卡芬太尼”新型毒品的中国人，杰森(杰森·斯坦森饰)是负责十年前追缴从墨西哥贩卖枪支到中国的负责人。中国公安部指示，中美联合作战，一举歼灭该制毒贩毒国际团伙。
34,猿人突击队,,星空盛典影业发布会上公布其余4部电影项目。动作片[猿人突击]由郑建国执导，陈虎与托尼·贾主演，今年末开机。
35,阿努比斯,,福斯公司动画新片《Anubis》改编自Bruce Zick的小说，讲的是一个木乃伊因诅咒而意外到埃及阴间旅行的故事，将于2018年3月23日复活节上映。
36,玉女胜典,,杨恭如重返大银幕 启航之作《玉女胜典》。想当年，在电影《风云》里暂露头角的杨恭如被大家奉为新一代玉女掌门。此次签约新东家，杨恭如的归来之作选择了电影《玉女胜典》。除了主演该片，杨恭如这次还将投身幕后，担任影片的制片人，为将来打好基础。
37,印囧,,徐朗为找到新合伙人，带着律师、会计等四人小团队前往印度。从孟买到新德里，从泰姬陵到清真寺，四人展开一场惊心动魄的取经之路。菩提树下，他们最终收获真经，却发现这是一份关于心灵的礼物。
38,阿凡达5：追寻伊娃,,《阿凡达》续集上映时间公布：2020年12月18，2021年12月17，2024年12月20，2025年12月19。
39,未定名新星球大战三部曲第三部,,星球大战新三部曲
40,王亚樵,,
41,狼行者,,讲述了11岁女孩罗芬的神奇经历。罗芬作为一个年轻的学徒猎人，她和父亲一起来到爱尔兰，准备消灭最后一批在那里的狼，但是改变她的事情来了，她发现了狼行者，此后一连串的古怪故事就发生了……
42,排球甜心,,
43,滚蛋吧！渣男,,唐贝贝每一次都发现自己爱上的是渣男，这些人表面上对她好，实际上根本不拿她当回事，她越是努力要对方爱自己，就越被渣得厉害，她在一次次的伤害中渐渐对爱情放弃了希望，认为全天下的男人都是渣男。虽然外表看起来光鲜亮丽，实际上她内心非常空虚，既不信任真正意义的恋爱，又不认可逢场作戏的欢愉，导致她已经很久没有开张，觉得人生一片灰暗。她收到一个神秘的礼物，就是“渣男鉴别眼镜”，她认为这是一个神的恩赐，从此以后她就可以摆脱100%遇渣男体质，为自己寻觅到一个好男人。不仅如此，她还利用这个眼镜为广大女同胞造福，和她的助理兼闺蜜刘依晨一起开了一个“渣男鉴定事务所”，为各种心存疑虑的女同胞鉴别渣男，并设局让渣男原形毕露。可她发现生活中所有男人的渣男指数都不低，有时候明明看起来很低，可是随便一点刺激就又激增，令她非常绝望，并决心如果以后能见到一个好男人，一定不能放过。她却不知道这一切都是韩哲林设下的圈套……
44,不够时间好好来爱你,,筱薇被凯霸道的流氓气质所吸引，经过几次接触，筱薇发现凯并不像自己认为的那么坏，凯却突然消失。过了不久，竟然发现了凯原来是警方安插在黑势力集团中的卧底。
45,未确认银翼杀手续集,,《银翼杀手》和《银翼杀手2049》的编剧汉普顿·范彻日前接受了Discussing Film的专访，谈到了他很想再写一部《银翼杀手》的续集作品，并且对故事的发展已经有了具体计划。
46,Livewire,,
47,第四道封锁线,,该电影由国家一级导演陈力执导，李天印、白景军任制片人，郝德俊、张利忠任制片主任。影片中集结了毛泽东扮演者王霙、王稼祥扮演者刘鉴等，可谓星光熠熠。主要表现了红军战士在长征途中不畏艰险，英勇杀敌，突破国民党重重封锁，抢渡湘江，保证了中央纵队如期到达遵义并召开遵义会议，确定了毛泽东同志在党和红军中领导地位的历史事实。
48,三体2,,《三体》第一部科幻电影尚未出炉，据可靠消息称，出品方游族影业近期已经正式启动了《三体2》电影的筹备工作，而且相比电影《三体1》，其投资额度还会有进一步的增加。
49,公主日记3,,《公主日记》系列原著作者梅格·凯博特近日表示，他们可能会着手拍摄《公主日记3》，悼念去年去世的导演盖瑞·马歇尔（《公主日记》前两部导演）。梅格既是原作者也参与了电影的编剧，然而对于接下来这一部的发展她什么也没透露。唯一可以肯定的是，比起原著来，下一部会更加贴近电影中的剧情走向。
50,游戏扭转者,,《游戏扭转者》则是动作犯罪类型，讲述一对矛盾父子组成游戏搭档经受无情的速度考验的故事。
51,算爱大师,,演员当导演也算有过先例，不过情感专栏作者做导演就令人瞠目了。素有国内 “情感奶爸”之称的陆琪也要做导演了，他将执导一部叫做《算爱大师》的电影，讲述了这样一个故事：高学历的海归才女沈璐开了一家算爱诊所，专门为痴男怨女解决感情问题。在近期的诊断中，发现了十位女生陆续向她求助，诉说无法忘怀这个抛弃她们的男人，沈璐发现她们所说的是同一个男人，而且这样的抛弃游戏更像是完成一个个任务...该片由叶伟民监制，将于年底开机。
52,红拂夜奔,,王小波的作品《红拂夜奔》将被改编为电影，徐克执导
53,Karnan,,This film is based on Mahabharata.
54,太极,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833562883.jpg,周星驰在片中饰演一名隐姓埋名的太极宗师，他移居美国在唐人街打工洗盘子，为了保护受暴徒威胁的同胞们，他挺身而出，此后创办了武术学校将他的一身好功夫传授给他人。
55,十面埋伏,,
56,悖论13,,贾樟柯“创业”成立新公司暖流文化，主攻商业电影，计划拍摄东野圭吾作品《悖论13》(贾樟柯监制)、李宇春导演处女作《人民路女神》、谍战片《双雄会》等。此外，新公司还将开展电影教育，专门培养和扶持电影人才。商业开发较难的电影，会保留在贾樟柯成立了十年的公司西河星汇。
57,独眼侠,,一个来自地狱厨房的勇敢的业余拳击手被军队招募来执行一些绝密任务。他很快被提升为队长，qigou.cc在那里他组建了第一攻击小队，这是一组执行精英任务的精英士兵。
58,Spy School,,A smart but awkward middle school student is accidentally recruited to join a clandestine junior spy academy.
59,Titan: The Life of John D. Rockefeller,,
60,阿凡达4：祖古骑士,,《阿凡达》续集上映时间公布：2020年12月18，2021年12月17，2024年12月20，2025年12月19。
61,僵尸世界大战2,,派拉蒙叫停大卫·芬奇执导，布拉德·皮特主演的[僵尸世界大战]续集。该片原定于今春或夏初在亚特兰大开拍，而现在前期制作已经暂停。消息人士称，预算问题已经到了紧张关头，但不清楚这些问题是如何酝酿的，也不清楚酝酿了多长时间。同样不清楚的是，该项目是否会重新开发，或者是否会无限期搁置。目前，派拉蒙和CAA，皮特和Plan B方面，都没有发表评论。
62,迪昂妮,,灵魂乐女歌手狄昂·华薇克公布自己的传记片将于今年秋天开始制作。她本人将由托雅·卢凯特(“天命真女”组合前成员)扮演，Lady Gaga将扮演英国已逝女歌手茜拉 布莱克。消息传出后遭到Gaga负责人的否认，对此华薇克声称自己并未与Gaga本人接洽，而是和她的经纪人拟定的事宜。
63,前任也曾是对的人,,光线影业也将拍摄一部新片《前任也曾是对的人》，这个短句听起来十分耳熟，原来它出自赵薇为《左耳》演唱的同名主题曲中的一句歌词。
64,繁花,,王家卫的未来计划中有两部作品备受瞩目，一部是改编自南京作家张嘉佳《从你的全世界路过》书中一篇的《摆渡人》，一部是改编自上海作家金宇澄长篇小说的《繁花》，近日王家卫特别澄清，自己只会担纲《摆渡人》一片的监制，而导演人选将在近期公布，这也从侧面印证了王家卫的下一部执导电影将是《繁花》，目前拍摄日期及映期均未公布。
65,解密,,北京隽扉世纪公司宣布成功购买了麦家的长篇小说《解密》的影视改编权，并由第五代导演何平执导。何平表示目前正在打磨剧本，希望将其打造成一个重量级的中美合拍片：“这本小说牵扯到冷战时期的很多内容，关于冷战的大部分电影基本上都是表现美苏冷战，没有表现中美冷战的影片，这需要我们解密那些背后的故事。”
66,南山,,河正宇有望与李政宰合作电影《南山》，李政宰担任该片制片人以及参与剧本改编工作。《南山》背景设置在军事独裁政权达到极致的1980年代，故事则将聚焦在位于南山公园里的安全企划部(国家安全企划部，现国家情报院)里上演的谍战戏码。
67,Untitled Abby Kohn/Marc Silverstein Romantic Comedy,,Anne Hathaway has boarded an untitled contemporary romantic comedy being developed at STXfilms from screenwriters Abby Kohn and Marc Silverstein.
68,未定名星球大战项目2,,迪士尼CEO鲍勃·艾格确认：定于2022年12月16日、2024年12月20日和2026年12月18日的未定名星球大战项目将出自《权力的游戏》编剧戴维·贝尼奥夫&D·B·威斯（负责三部曲剧本创作&担任制片人）。
69,神偷奶爸4,,
70,Amok,,
71,顶峰,,2015年这位炙手可热的香港女导演手握三部风格迥异的新片：汇聚中韩众多一线明星的《顶峰》
72,阿凡达3：带种者,,《阿凡达》续集上映时间公布：2020年12月18，2021年12月17，2024年12月20，2025年12月19。
73,买凶杀狗,,
74,Untitled Marvel Project,,
75,未定名新星球大战三部曲第一部,,<星球大战>新三部曲
76,树屋,,"1910 Pommerania - Germany Thomas von Farnow wakes from a menacing, erotic dream. It will stay with him through the summer holiday at his ancestral home and eventually unlock the true nature of his domineering father, Klaus. Thomas has failed his exams and left his boarding school in disgrace. At 18 he's come of age and now finds everything at home is subtly altered. His childhood friend, a country boy, has been made his personal valet. From now on they're master and servant. And his father is distant, Thomas' growing isolation is only lifted by his cousin Ellita. At twenty-five she's fascinating, glamorous and unpredictable. From seeing her as some kind of older sister destined to marry well, Thomas now feels her erotic charge. Ellita shows him her mother's sensual journal of years ago, when she had a passionate affair with an unnamed lover. Fascinated, Ellita & Thomas are drawn together as they try to discover his identity from the clues in the journal..."
77,凤凰,,《凤凰》的故事主角是一个生活在西南边境的小女孩，全片讲述她寻找母亲、破解身世之谜的传奇故事。
78,莫洛博士岛,,今年有《了不起的盖茨比》《华尔街之狼》等诸多重要电影登场的好莱坞当红巨星莱昂纳多·迪卡普里奥，最近又有了新动作——他打算通过自己的亚壁古道（Appian Way）制作公司，与华纳电影公司进行深度合作，将英国小说家赫伯特·乔治·威尔斯（H.G. Wells）的著名科幻恐怖小说《莫洛博士岛》（The Island of Dr. Moreau）搬上大银幕，他有可能只以制片人身份加盟这部电影的制作。
79,功夫2,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2043023919.jpg,暂无
80,刺狐,,"想他顾云风如此风云纵横,居然对一个傻瓜情有独钟,已经是常人羡慕之极的了。可是眼前这个只爱睡觉和巧克力的傻瓜-陆子明居然动物本能似的逃开,老狐狸决定一定要把这只IQ180的小刺猬拿过来好好享用...ysgou.cc腹黑强攻—顾云风 单纯迟钝受—陆子明……"
81,歌舞青春4,,迪士尼正式宣布将拍摄《歌舞青春4》，开始在全美国选角，选拔新的少男少女，曾执导《青春海滩》的Jeffrey Hornaday或将担任新片导演与编舞，编剧仍有可能将是前3部的Peter Barsocchini。
82,黑豹2,,复仇者联盟3》新海报出现了23个漫威超级英雄同框的景象，小蜘蛛、钢铁侠与锤哥地位居中。曝光的还有美队与黑寡妇的片场照。漫威将推进《黑豹》续集，同时未来会看到更多黑豹妹妹苏睿公主。
83,Joseph Merrick,,"The life of Joseph Merrick, who's deformities garnered him the name, ""The Elephant Man""."
84,The Power of the Dog,,
85,魔女狂花,,劳模姐杰西卡·查斯坦加盟科幻新片《魔女狂花》。本片根据漫画改编，讲述查斯坦饰演的卧底女警在遭受重伤后意外获得超能力，并化身义警“止痛剂”，打击城市中的罪恶势力。查斯坦执掌的雀斑影业负责制作，此次是劳模姐继《他和她的孤独情事》和《动物园长的夫人》后再次担任制片人。
86,黑暗物质,,导演罗兰·艾默里奇有望执导索尼科幻惊悚片《黑暗物质》(Dark Matter，暂译)。影片改编自布雷克·克劳奇今年7月出版的同名畅销小说。一位大学物理教授原本拥有一个幸福家庭，一日突遭劫持，醒来后发现自己身处一个完全陌生的世界，而这一跨次元的穿越正源自他自己的物理理论。
87,未定名Alexander Hawke特工电影,,据美国媒体报道，派拉蒙影业获得了美国小说家Ted Bell系列间谍小说的改编权，该小说的主人翁是一位名叫Alexander Hawke的英国军情六处特工，类似于经典的007形象。影片将由《特工绍特》的编剧科特·维莫执笔剧本。
88,摩登之海,,影片故事聚焦海洋资源之争，一条至关重要的海航线、无数珍贵的奇珍异宝，点燃了人们心中的欲望。FilmNation公司如此描述本片：“这是一个史诗般的故事，布满危险与阴谋。它将我们从阿尔及利亚的古老商贸组织，带入伸手不见五指的幽暗海底。”
89,日落大道,,经典百老汇音乐剧《日落大道》将拍成电影，格伦·克洛斯主演，最新找到导演：曾获托尼奖的著名音乐剧编舞Rob Ashford(《摩登米莉》《冰雪奇缘》)，这将是他首次执导电影长片，Andrew Lloyd Webber等任制片人。
90,Harker,,
91,史蒂夫·麦奎因,,已故影星史蒂夫·麦奎因传记片获得A类融资，进入筹备阶段。麦奎因是好莱坞六七十年代硬汉动作片明星，曾出演[豪勇七蛟龙]、[大逃亡]、[巴比龙]等片，他除了演员之外还是一位冠军赛车手。据悉，导演詹姆士·格雷([移民])和杰瑞米·雷纳正在积极谈判中，查宁·塔图姆和瑞恩·高斯林对此片也有极大兴趣。
92,沃霍尔,,“小丑”杰瑞德·莱托将出演讲述安迪·沃霍尔的自传片《沃霍尔》，他还将担任新片制片。特伦斯·温特操刀剧本。沃霍尔的作品自上世纪50年代开始展出，他被誉为20世纪最知名的艺术家之一，是波普艺术的倡导者和领袖，代表作包括《玛丽莲·梦露》等。沃霍尔于1987年去世。
93,诱惑英格丽·褒曼,,杰西卡·查斯坦曝出新片动态，她将加盟电影《诱惑英格丽·褒曼》（Seducing Ingrid Bergman），饰演这位传奇女星。影片由《摩纳哥王妃》的编剧阿拉什·阿梅尔执笔并制作，讲述褒曼和匈牙利战地摄影师罗伯特·卡帕间的罗曼史。
94,银河护卫队3,,《银河护卫队2》5月5日就将在全美上映，在被问及是否会继续创作《银河护卫队》时，导演詹姆斯·古恩肯定地说：“这是肯定的，我们一定会拍《银河护卫队3》。我现在正在思考这个问题，但是现在我必须想清楚故事要往哪个方向发展，这也决定着我未来三年的时间将会如何度过。”
95,眺望旅馆,,1980年的《闪灵》由斯坦利·库布里克（Stanley Kubrick）导演、杰克·尼科尔森（Jack Nicholson）主演，故事讲述一位失意编剧带着妻儿到位于落基山中、与世隔绝的了望酒店，当起了这里的看管人，不过这座酒店阴气很重，杰克也明显受到影响逐渐走向疯狂，最后甚至拿起斧头要杀死自己的妻儿。
96,破娃娃,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1710560149.jpg,"Tori Alvarez - a sexy 18 year old Mexican American girl is struggling to be the first in her family to graduate from high school. She begins a torrid affair with an older cop who happens to be the Father of her best friend. The affair triggers a chain of events that will change the lives of those around her, forever. Straddling the line between redemption and despair - an unexpected twist sends life for Tori spiraling out of control into a web of sex, deceit, gangs, drugs, abuse, revenge, and murder."
97,The Marquis,,The Marquis will shoot in English and is being earmarked for a winter 2016-17 production start.
98,洗礼,,《洗礼》由Jac Schaeffer编剧，故事开始于一场婴儿洗礼的仪式，就在来宾见证新生命洗礼的同时，一场流星雨不期而至。这场流星雨把所有的男性都变成了外星人，幸存的女人们不得不承担起拯救自己和世界的重任。
99,Alienology,,
100,凯蒂猫大电影,,据记者从一位接近三丽鸥中国公司的人士处了解到，目前三丽鸥中国已与国内一家制作公司达成合作协议，计划制作Hello Kitty大电影五部曲，而首部电影暂定于2016年年中上映。该知情人士还强调，此次的电影将只在中国市场发行，而这也是Hello Kitty这一卡通形象首次被制作成系列电影。
101,海王2,,据消息人士告诉Deadline，[华纳兄弟]正在展开讨论进程，计划让温子仁来监督《海王2》的前期筹备工作，包括由他来决定选择哪些编剧来完成剧本创作工作，之后会在温子仁看完剧本后让他决定是否愿意回归执导DC作品。
102,出现在我脑海,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2498522264.jpg,An intense and erotic love is born out of loneliness and secret passion. The woman is married. The young soldier is starting to recover. She is not who he thinks she is. A film about the urgency of deceit and desire; seeing and not seeing.
103,Huck,,Huck用他的特异天赋行善事，但当秘密被大家知道后，他踏上了改变人生的冒险之路。本片改编自马克·米勒的漫画。
104,Risen,,"A man wakes in a morgue with no memory of who he is or how he got there. His only identity is his tag: ""John Doe."" On the run, with everyone trying to kill him, Doe must decipher the mystery of his existence."
105,通缉令2,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2530218352.jpg,去年票房大卖的影片《通缉令》（Wanted，又译刺客联盟）的导演提莫·贝克曼贝托夫（Timur Bekmambetov）近日接受俄罗斯媒体采访时透露，《通缉令2》将于今年年底开拍，主演安吉丽娜·朱丽的角色有望“复活”。
106,星际迷航4,,克里斯·海姆斯沃斯在与外媒《综艺》的采访中，确认他已拒绝出演重启版《星际迷航4》，原因是他对剧本不很满意：“我认为我们还没有找到足够的理由来重访，我不希望我将展现的东西不能让我自己激动。”
107,你房里有人,,Netflix拿下Stephanie Perkins所著畅销小说《你房里有人》(There’s Someone Inside Your House)的电影改编权，温子仁的Atomic Monster和肖恩·利维的21 Laps制片公司参与制作。亨利·盖登(《沙赞》《地球回音》)改编剧本，讲述年轻女孩Makani Young从夏威夷去到内布拉斯加与祖母一起生活，结交了一群新朋友，爱上了一个神秘的局外人Ollie Larsson，但她以前在夏威夷的生活依旧难以忘怀。不久后，她的高中朋友们开始莫名其妙的在一系列可怕的谋杀案中丧生，没人知道谁是下一个。虽然恐惧加剧，她对Ollie的感情越来越强烈，被迫直面内心的黑暗秘密。风格类似1980年代的恐怖电影与约翰·休斯的成长记事电影相结合，Michael Clear＆ Michael Clear (《安娜贝尔2》《关灯后》)也担任制片人。
108,苍之URU 剧场版,,「新世紀エヴァンゲリオン」などで知られるアニメ制作会社「ガイナックス」が、
109,永恒的爱,,大卫·雷奇(《死侍2》《疾速追杀》)将执导漫画改编电影《永恒的爱》(Undying Love)，Studio 8制作，托米·维尔科拉(《猎杀星期一》《女巫猎人》)编写剧本。漫画由Tomm Coker 和Daniel Freedman创作，设定在现代香港，中国民间传说与重新改造的吸血鬼传说相碰撞，讲述以时代为背景的动作冒险故事：退伍军人约翰·萨金特爱上了一个吸血鬼——一个叫梅的中国女人。为了让梅摆脱吸血鬼的诅咒，约翰必须在香港黑社会杀出一条血路，杀死改变她的吸血鬼。碰巧，梅被史上最强大的吸血鬼之一改变了。
110,雪崩,,
111,Colossus,,A supercomputer designed for the U.S. government decides that the most effective way it can protect the country is to assume complete control.
112,Girlfriend in a Coma,,
113,武士,,
114,The Food of Love,,
115,百分之十一,,An extraordinary twist of fate grants ten ordinary people a controlling stake in one of America's biggest banks.
116,Legion of 5,,Five super-humans in the Legion of 5 are accused of the murder of the president of the united states.
117,君子道：上海滩后传,,丁力（范雨林 饰）手下众人追击“枪杀”许文强的枪手，枪手乘坐黑色轿车逃之夭夭。幕后黑手无从得知。
118,叶栅,,这部新片暂定名《Cascade》，由20世纪福斯出品，将由雷德利·斯科特、斯蒂文·泽里安等联合制片，导演人选目前锁定了冰岛导演巴塔萨·科马库，他曾拍摄过《白夜婚礼》、《深渊》等佳作，近年来在好莱坞发展，拍摄了《双龙出手》等不同风格的影片。他现在与福斯仍在最后的商谈阶段。
119,东西方,,章子怡将与环球合作一部喜剧《East/West》，从片名也可以预知这是一部关于东西方文化的喜剧。章子怡将主演并担任制片人之一。美剧《摩登家庭》导演Jason Winer执导。Ethan Sandler与Adrian Wenner 负责剧本。
120,幸好有牛奶,,"尼尔·盖曼（Neil Gaiman）的童书《幸好有牛奶》（Fortunately, the Milk）即将被20世纪福克斯搬上大银幕，曾经执导过《热血警探》（Hot Fuzz）等奇奇怪怪、脑洞大开影片的英国导演埃德加·怀特（Edgar Wright）将担任该片导演，而约 翰尼·德普（Johnny Depp）则将担任主演。"
121,桑迪顿,,Oscar-nominee Charlotte Rampling (45 Years) is to star in a film adaptation of Jane Austen’s never-before dramatised final novel Sanditon.
122,你想活出怎样的人生,,吉卜力工作室官网宣布重新开张，将制作动画大师宫崎骏最新动画电影作品！关于这部新片的故事等信息目前还在保密中，但宫崎骏动画电影制作人铃木敏夫向粉丝们透露，在2020年东京奥运会之前，新片或将与观众见面。
123,芝加哥七君子审判,,影片改编自真实事件，1969年七名民权运动分子因在前一年芝加哥民主党代表大会召开时举行抗议活动而被控阴谋罪，这也成为60年代民权运动重要事件之一。
124,不列顛之战,,雷德利·斯科特老爷子在拍完《异形：契约》后，将拍摄一部聚焦“不列颠之战”的二战电影。不列颠之战是二战期间纳粹德国对英国发动的大规模空战，也是第二次世界大战中规模最大的一场空中战役。影片目前还处于早起开发阶段，剧本尚未完成，不过已确定由新秀Matthew Orton执笔。
125,飓风中的清白者,,"In post-Katrina New Orleans, a Syrian-born painting contractor assisting in the rescue efforts finds he's suspected of being a terrorist."
126,Untitled Bobby Glickert/Sci-Fi Thriller Project,,
127,密室之不可逃脱,,以推理小说家和私家侦探双重身份成名的柳飞云遇上了一个针对自己而来的挑战。接受了这个充满恶意和阴谋的挑衅，自傲而不服输的柳飞云带着经纪人李晓峰欣然前往目的地，一个深山之中的酒庄。除了柳飞云二人，被邀请至此的还有其他七人。几个不同身份互不相识的陌生人在这个被完全封闭起来的酒庄中，卷入了一起以亿万财富和生命为赌注的豪赌。就在这场赌局开始不久，有人在众目睽睽中突然死亡。绝命的倒计时开启，活下去的可能性越来越小。面对这场不知对手是谁的赌局，被逼入绝境的柳飞云踏上了通向真相的死亡之渊。
128,千岛湖之恋,,电影《千岛湖之恋》是由汪桔华执导，张子冉领衔主演，该剧围绕现代爱情为主线，讲述发生在你我身边的爱情故事。
